fips,County Name,State,7DayTotal_1_09,7DayTotal_1_16,7DayTotal_1_23,7DayTotal_1_30,7DayTotal_2_6,7DayTotal_2_13,7DayTotal_2_20,7DayTotal_2_27,7DayTotal_3_6,7DayTotal_3_13,7DayTotal_3_20,7DayTotal_3_27,7DayTotal_4_03,7DayTotal_4_10,7Day_last_update
1001,Autauga County ,AL,579,307,204,238,260,146,77,169,96,72,94,52,55,98,98
1003,Baldwin County ,AL,1247,974,952,794,746,383,310,353,201,176,238,124,73,91,91
1005,Barbour County ,AL,120,75,82,126,71,38,21,52,26,42,31,12,7,16,16
1007,Bibb County ,AL,175,106,79,61,50,59,18,38,12,18,49,7,10,17,17
1009,Blount County ,AL,318,245,170,193,253,49,64,74,157,36,94,38,38,22,22
1011,Bullock County ,AL,58,37,46,42,46,18,8,20,10,8,9,8,6,5,5
1013,Butler County ,AL,95,59,47,69,63,35,36,22,61,21,34,21,13,16,16
1015,Calhoun County ,AL,761,625,418,422,450,261,231,372,729,94,103,39,46,34,34
1017,Chambers County ,AL,234,198,216,140,85,59,40,48,26,9,25,18,6,9,9
1019,Cherokee County ,AL,88,77,51,37,41,13,9,17,13,7,5,11,8,8,8
1021,Chilton County ,AL,218,116,90,88,78,109,54,96,43,44,50,17,36,22,22
1023,Choctaw County ,AL,8,12,7,11,10,3,3,4,7,14,10,3,0,2,2
1025,Clarke County ,AL,181,177,184,202,145,57,33,19,9,18,10,5,0,-15,-15
1027,Clay County ,AL,65,38,36,26,31,36,19,29,24,7,11,0,5,8,8
1029,Cleburne County ,AL,71,55,43,51,52,18,14,23,28,10,32,8,4,5,5
1031,Coffee County ,AL,428,275,226,250,214,77,51,39,30,19,55,32,15,8,8
1033,Colbert County ,AL,324,244,188,224,157,60,32,45,3,24,88,36,22,23,23
1035,Conecuh County ,AL,40,37,36,23,30,19,13,4,5,3,7,4,1,3,3
1037,Coosa County ,AL,55,27,29,40,72,90,15,37,15,9,32,0,9,39,39
