stateFIPS,State,countyFIPS,County,Year,7-day-average-known-cases,7-day-average-known-cases_actual,fips,7Day_last_update,7Day_last_update_actual
1,Alabama,1001,Autauga,20210327,14,14,1001,98,98
1,Alabama,1003,Baldwin,20210327,13,13,1003,91,91
1,Alabama,1005,Barbour,20210327,3,3,1005,16,16
1,Alabama,1007,Bibb,20210327,3,3,1007,17,17
1,Alabama,1009,Blount,20210327,4,4,1009,22,22
1,Alabama,1011,Bullock,20210327,1,1,1011,5,5
1,Alabama,1013,Butler,20210327,3,3,1013,16,16
1,Alabama,1015,Calhoun,20210327,5,5,1015,34,34
1,Alabama,1017,Chambers,20210327,2,2,1017,9,9
1,Alabama,1019,Cherokee,20210327,2,2,1019,8,8
1,Alabama,1021,Chilton,20210327,4,4,1021,22,22
1,Alabama,1023,Choctaw,20210327,1,1,1023,2,2
1,Alabama,1025,Clarke,20210327,-3,-3,1025,-15,-15
1,Alabama,1027,Clay,20210327,2,2,1027,8,8
1,Alabama,1029,Cleburne,20210327,1,1,1029,5,5
1,Alabama,1031,Coffee,20210327,2,2,1031,8,8
1,Alabama,1033,Colbert,20210327,4,4,1033,23,23
1,Alabama,1035,Conecuh,20210327,1,1,1035,3,3
1,Alabama,1037,Coosa,20210327,6,6,1037,39,39
1,Alabama,1039,Covington,20210327,1,1,1039,5,5
1,Alabama,1041,Crenshaw,20210327,-2,-2,1041,-11,-11
1,Alabama,1043,Cullman,20210327,9,9,1043,61,61
1,Alabama,1045,Dale,20210327,-1,-1,1045,-3,-3
1,Alabama,1047,Dallas,20210327,2,2,1047,8,8
1,Alabama,1049,DeKalb,20210327,6,6,1049,41,41
1,Alabama,1051,Elmore,20210327,-2,-2,1051,-9,-9
1,Alabama,1053,Escambia,20210327,2,2,1053,11,11
1,Alabama,1055,Etowah,20210327,2,2,1055,9,9
1,Alabama,1057,Fayette,20210327,3,3,1057,21,21
1,Alabama,1059,Franklin,20210327,2,2,1059,9,9
1,Alabama,1061,Geneva,20210327,1,1,1061,3,3
1,Alabama,1063,Greene,20210327,1,1,1063,1,1
1,Alabama,1065,Hale,20210327,3,3,1065,16,16
1,Alabama,1067,Henry,20210327,1,1,1067,7,7
1,Alabama,1069,Houston,20210327,4,4,1069,25,25
1,Alabama,1071,Jackson,20210327,2,2,1071,11,11
1,Alabama,1073,Jefferson,20210327,60,60,1073,418,418
1,Alabama,1075,Lamar,20210327,0,0,1075,0,0
1,Alabama,1077,Lauderdale,20210327,8,8,1077,52,52
1,Alabama,1079,Lawrence,20210327,3,3,1079,20,20
1,Alabama,1081,Lee,20210327,9,9,1081,58,58
1,Alabama,1083,Limestone,20210327,6,6,1083,38,38
1,Alabama,1085,Lowndes,20210327,1,1,1085,1,1
