fips,Forecast_Reference,Forecast_Model,Actual_Target
01001,62.0,62.0,94.0
01003,120.0,120.0,238.0
01005,26.0,26.0,31.0
01007,14.0,14.0,49.0
01009,41.0,41.0,94.0
01011,6.0,6.0,9.0
01013,20.0,20.0,34.0
01015,111.0,111.0,103.0
01017,9.0,9.0,25.0
01019,7.0,7.0,5.0
01021,39.0,39.0,50.0
01023,12.0,12.0,10.0
01025,16.0,16.0,10.0
01027,7.0,7.0,11.0
01029,9.0,9.0,32.0
01031,22.0,22.0,55.0
01033,22.0,22.0,88.0
01035,3.0,3.0,7.0
01037,9.0,9.0,32.0
01039,17.0,17.0,12.0
01041,11.0,11.0,8.0
01043,69.0,69.0,221.0
01045,22.0,22.0,27.0
01047,10.0,10.0,57.0
01049,54.0,54.0,92.0
01051,94.0,94.0,193.0
01053,12.0,12.0,31.0
01055,72.0,72.0,113.0
01057,7.0,7.0,15.0
01059,34.0,34.0,128.0
01061,10.0,10.0,9.0
01063,1.0,1.0,6.0
01065,9.0,9.0,12.0
01067,7.0,7.0,12.0
01069,52.0,52.0,54.0
01071,27.0,27.0,129.0
01073,634.0,634.0,1337.0
01075,8.0,8.0,21.0
01077,55.0,55.0,336.0
01079,13.0,13.0,40.0
01081,64.0,64.0,136.0
01083,41.0,41.0,184.0
01085,8.0,8.0,16.0
01087,12.0,12.0,29.0
01089,189.0,189.0,357.0
01091,17.0,17.0,18.0
01093,35.0,35.0,94.0
01095,51.0,51.0,288.0
01097,228.0,228.0,488.0
01099,6.0,6.0,19.0
01101,172.0,172.0,426.0
01103,80.0,80.0,190.0
01105,4.0,4.0,5.0
01107,11.0,11.0,47.0
01109,15.0,15.0,44.0
01111,17.0,17.0,55.0
01113,37.0,37.0,59.0
01117,217.0,217.0,290.0
01115,59.0,59.0,149.0
01119,9.0,9.0,10.0
01121,66.0,66.0,158.0
01123,27.0,27.0,161.0
01125,147.0,147.0,264.0
01127,64.0,64.0,321.0
01129,6.0,6.0,48.0
01131,8.0,8.0,2.0
01133,13.0,13.0,99.0
02013,0.0,0.0,1.0
02016,14.0,14.0,0.0
02020,251.0,251.0,327.0
02050,26.0,26.0,45.0
02060,0.0,0.0,14.0
02068,1.0,1.0,3.0
02070,1.0,1.0,0.0
02090,65.0,65.0,76.0
02100,0.0,0.0,0.0
02105,0.0,0.0,1.0
02110,8.0,8.0,12.0
02122,20.0,20.0,32.0
02130,2.0,2.0,6.0
02150,1.0,1.0,4.0
02158,4.0,4.0,2.0
02164,0.0,0.0,0.0
02170,231.0,231.0,254.0
02180,1.0,1.0,2.0
02185,5.0,5.0,6.0
02188,3.0,3.0,4.0
02195,7.0,7.0,4.0
02198,1.0,1.0,1.0
02220,3.0,3.0,1.0
02230,0.0,0.0,0.0
02240,16.0,16.0,56.0
02261,0.0,0.0,0.0
02275,0.0,0.0,0.0
02282,0.0,0.0,0.0
02290,2.0,2.0,2.0
04001,62.0,62.0,32.0
04003,76.0,76.0,63.0
04005,104.0,104.0,88.0
04007,21.0,21.0,13.0
04009,16.0,16.0,20.0
04011,2.0,2.0,1.0
04012,5.0,5.0,3.0
04013,4037.0,4037.0,764.0
04015,153.0,153.0,157.0
04017,51.0,51.0,0.0
04019,629.0,629.0,375.0
04021,610.0,610.0,925.0
04023,23.0,23.0,21.0
04025,170.0,170.0,122.0
04027,54.0,54.0,61.0
05001,3.0,3.0,17.0
05003,14.0,14.0,15.0
05005,46.0,46.0,41.0
05007,227.0,227.0,189.0
05009,25.0,25.0,13.0
05011,5.0,5.0,12.0
05013,3.0,3.0,4.0
05015,7.0,7.0,4.0
05017,8.0,8.0,6.0
05019,7.0,7.0,8.0
05021,6.0,6.0,6.0
05023,11.0,11.0,16.0
05025,8.0,8.0,2.0
05027,10.0,10.0,13.0
05029,6.0,6.0,8.0
